"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G10180","Abilene, TX Metro Area",-7227,1744,378,882,71,720,14759
"G10420","Akron, OH Metro Area",-44830.0600000001,2956,16,11856,33,3644,25339
"G10500","Albany, GA Metro Area",-6800,-2698,-50,214,-93,727,3190
"G10580","Albany-Schenectady-Troy, NY Metro Area",-55989,10391,860,19116,137,10079,43952
"G10740","Albuquerque, NM Metro Area",-133717.88,2035,8164.01,5374,201,-3535.04000000001,150928.83
"G10780","Alexandria, LA Metro Area",-6299.53,-1990.01,-31.01,277,-3,1059.99,5262.98
"G10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",-65450.47,12918,545,6812.01,38,29703.01,56151.05
"G11020","Altoona, PA Metro Area",-8628.75,404,21,172,-16,483.01,3289.77
"G11100","Amarillo, TX Metro Area",-25127,2308,823,2416,5,5592,31035
"G11180","Ames, IA Metro Area",1702,823,161,78,14,1723,4494
"G11260","Anchorage, AK Metro Area",-20557,-1385,2474,4529,4385,4346,23716
"G11300","Anderson, IN Metro Area",-6858,-738,87,102,-2,1166,4736
"G11340","Anderson, SC Metro Area",4725.20999999999,441.740000000002,138.07,1010.6,15.39,2266.34,8214.63
"G11460","Ann Arbor, MI Metro Area",807.899999999994,-948.010000000002,16,6523,73,3270,17725
"G11500","Anniston-Oxford, AL Metro Area",-8254,1177,-53,345,23,577,4054
"G11540","Appleton, WI Metro Area",3083,1515,210,1635,73,1803,9162
"G11700","Asheville, NC Metro Area",9295.62,278.02,494.98,1402,639.97,9059.93,22998.26
"G12020","Athens-Clarke County, GA Metro Area",6887.07999999999,1066,387,1565.05,6,2942,10022.07
"G12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",-161799.03,336178.55,12414,144778.08,381,125679.14,343272.2
"G12100","Atlantic City-Hammonton, NJ Metro Area",-22769.55,-2618.99,203,1188.98,250,6973.99,16757.97
"G12220","Auburn-Opelika, AL Metro Area",11645,7669,275,4914,15,2519,6957
"G12260","Augusta-Richmond County, GA-SC Metro Area",-3238.78000000003,13754.64,173,3611,183,6095.76,25870.04
"G12420","Austin-Round Rock-San Marcos, TX Metro Area",58885.1499999999,32683.73,7541.15,79327.02,697,66832.42,321179.47
"G12540","Bakersfield-Delano, CA Metro Area",-128032.04,1209,5487,11931,256,69839.07,108913.98
"G12580","Baltimore-Towson, MD Metro Area",-151281.72,32139.15,2130.01,57596.08,-133.99,66722,126851.97
"G12620","Bangor, ME Metro Area",-7491,348,-378,443,2,563,4789
"G12700","Barnstable Town, MA Metro Area",-3735.07999999999,2541,-100,936,-4,2289,11181
"G12940","Baton Rouge, LA Metro Area",-17077.3,10552.25,474,3492,-27,15556.98,34073.97
"G12980","Battle Creek, MI Metro Area",-9202.39999999999,-359,48,1563,-21,737,5399.21
"G13020","Bay City, MI Metro Area",-8146,3,-101,-40,-9,294,4084
"G13140","Beaumont-Port Arthur, TX Metro Area",-27705,525,481,1894,34,9406,24185
"G13380","Bellingham, WA Metro Area",4129.98000000001,418,594,3037,233,3115,14180
"G13460","Bend, OR Metro Area",23767.48,319,114,1005,62,1989.99,13268.83
"G13740","Billings, MT Metro Area",5664.78,363,1372,380,115,1111,8149.38
"G13780","Binghamton, NY Metro Area",-22769,3147,149,2314,5,2316,10251
"G13820","Birmingham-Hoover, AL Metro Area",-22877,13798,1478,5746,20,11390,43029
"G13900","Bismarck, ND Metro Area",12939,2146,1187,783,306,1295,4314
"G13980","Blacksburg-Christiansburg-Radford, VA Metro Area",-8472.07000000001,1236,27.97,3216.76,19,1469.97,5923.57
"G14020","Bloomington, IN Metro Area",-11163,677,-37,1170,-17,992,7506
"G14060","Bloomington-Normal, IL Metro Area",-10792,2570,100,915,7,1711,6871
"G14260","Boise City-Nampa, ID Metro Area",69635.51,4197,1304,5128,779,11496,55618.02
"G14460","Boston-Cambridge-Quincy, MA-NH Metro Area",-208604.5,32762.16,3524.01,134025.68,53,132281.99,295193.81
"G14500","Boulder, CO Metro Area",-923.579999999987,861.01,677,4314.78,101,6020.47,25118.23
"G14540","Bowling Green, KY Metro Area",4043,2551,161,4149,559,2867,6397
"G14740","Bremerton-Silverdale, WA Metro Area",-973.779999999999,1185,266,2015.99,658.99,4137.97,17184.72
"G14860","Bridgeport-Stamford-Norwalk, CT Metro Area",-101716,7439,1985,9057,-95,45113,78807
"G15180","Brownsville-Harlingen, TX Metro Area",-190716,-79,1195,117,36,40228,164016
"G15260","Brunswick, GA Metro Area",-2213,-1977,124,270,17,675,4229
"G15380","Buffalo-Niagara Falls, NY Metro Area",-57533,12753,-171,23231,46,10076,42991
"G15500","Burlington, NC Metro Area",-1667.78999999999,5605,405,1009,47,6141.07,8580.06
"G15540","Burlington-South Burlington, VT Metro Area",-555.950000000012,1742,-51.85,2946.01,3,1139,9088.29
"G15940","Canton-Massillon, OH Metro Area",-22734,564.16,187,431,38,2428,16233.44
"G15980","Cape Coral-Fort Myers, FL Metro Area",17142.88,7847,1635,4629,-68,26571.16,84313.45
"G16020","Cape Girardeau-Jackson, MO-IL Metro Area",-3081.00999999999,-118,-5,403,-11,171,3883
"G16180","Carson City, NV Metro Area",-4955,88,153,235,34,1888,5922
"G16220","Casper, WY Metro Area",-696,126,272,139,53,455,4156
"G16300","Cedar Rapids, IA Metro Area",-3208.01999999999,8148,-23,1554,348,1701,10060
"G16580","Champaign-Urbana, IL Metro Area",-20437.05,3745,228,6576,-55,3578,10545.99
"G16620","Charleston, WV Metro Area",-25590.86,-306,-11,342,-8,1087,8640.01
"G16700","Charleston-North Charleston-Summerville, SC Metro Area",75847,-295,1088,5516,122,14492,38259
"G16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",38227.47,81067.87,3838,50864.3,130,61130.83,118483.28
"G16820","Charlottesville, VA Metro Area",2610.39999999999,-1323.79,109.64,5180.22,1.98999999999999,2882,10474.29
"G16860","Chattanooga, TN-GA Metro Area",1684.90999999997,-2881,794,2638,-74,6501,25842.07
"G16940","Cheyenne, WY Metro Area",-607,224,245,320,30,1060,7502
"G16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area",-986269.64,-69041,51048.2,153093,463,255236,752868.21
"G17020","Chico, CA Metro Area",-30539,229,97,1476,121,6007,14241
"G17140","Cincinnati-Middletown, OH-KY-IN Metro Area",-41553.1000000001,17394.45,1875,27216.57,636,24698.75,89363.48
"G17300","Clarksville, TN-KY Metro Area",10207.99,11172,126,1774,279,4573,18454
"G17420","Cleveland, TN Metro Area",201.899999999994,1031,120,371,80,1564,7007.99
"G17460","Cleveland-Elyria-Mentor, OH Metro Area",-99194.6799999999,-6323,703,13330,120,18279,84064.74
"G17660","Coeur d'Alene, ID Metro Area",21632.57,106,144,459,87,1277,9202.19
"G17780","College Station-Bryan, TX Metro Area",-4593.01000000001,2326.99,790,4727,131,8911,27295
"G17820","Colorado Springs, CO Metro Area",20204.9300000001,5355,1542,5463,897,12674.6,63343.97
"G17860","Columbia, MO Metro Area",4955,2999,-7,1677,31,2200,9120
"G17900","Columbia, SC Metro Area",-1352.21999999997,13985.36,648,6021,64,7958.24,34531.96
"G17980","Columbus, GA-AL Metro Area",-7845.04000000001,12282.61,64,1864,197,2902,13513
"G18020","Columbus, IN Metro Area",-3061,406,96,2758,1,1416,3798
"G18140","Columbus, OH Metro Area",15457.1100000001,61052.11,1910,47825,-208,26390,86514.94
"G18580","Corpus Christi, TX Metro Area",-101695,757,1046,2799,150,13894,100627
"G18700","Corvallis, OR Metro Area",105.240000000005,243,192,1999,79,1153.99,5832
"G18880","Crestview-Fort Walton Beach-Destin, FL Metro Area",5279,2863,138,1474,135,4425,16532
"G19060","Cumberland, MD-WV Metro Area",-10702.27,-746,30,181.24,-5,346,2703.56
"G19100","Dallas-Fort Worth-Arlington, TX Metro Area",-424527.49,259374.97,30669,265139,3195,251127,885865.86
"G19140","Dalton, GA Metro Area",-15448,-43,1819,115,-56,2486,11737
"G19180","Danville, IL Metro Area",-10040.91,-150,43,13,-7,455,2250.01
"G19260","Danville, VA Metro Area",-6514.52,-516.599999999999,129.01,222,-6,735,2482.04
"G19340","Davenport-Moline-Rock Island, IA-IL Metro Area",-26274,6019,471,3187,-7,2462,18776
"G19380","Dayton, OH Metro Area",-34184.13,2179.56,141,4828.44,105,7209.25,33291.21
"G19460","Decatur, AL Metro Area",-7267,634,-597,204,-20,2440,7271
"G19500","Decatur, IL Metro Area",-12051.17,1020,11,397,4,482,3362
"G19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",-8093,5998,307,3122,101,13043,44472
"G19740","Denver-Aurora-Broomfield, CO Metro Area",-5474.6399999999,22965.96,10545.77,43436.23,2177,57184.8,289511.61
"G19780","Des Moines-West Des Moines, IA Metro Area",34629.4399999999,11814,974,12805,82,8076,33644
"G19820","Detroit-Warren-Livonia, MI Metro Area",-160039.97,-19375,-371,70918,186,35868.03,168605.03
"G20020","Dothan, AL Metro Area",-2814,1240,1,503,15,982,5441
"G20100","Dover, DE Metro Area",-2311.24000000001,8085.11,106,1123.14,34,2422.99,10084.14
"G20220","Dubuque, IA Metro Area",222,1640,83,150,541,560,2417
"G20260","Duluth, MN-WI Metro Area",-10834.3,1611,107.37,44,21,1041,8973.93
"G20500","Durham-Chapel Hill, NC Metro Area",19274.12,7728.07999999999,1369.01,9067.56,-14,15831.08,31176.29
"G20740","Eau Claire, WI Metro Area",2676.53,474,107,1305,57,830,5388
"G20940","El Centro, CA Metro Area",-55016,-1411,1207,206,0,18115,42073
"G21060","Elizabethtown, KY Metro Area",-1851,483,-32,177,83,848,6125
"G21140","Elkhart-Goshen, IN Metro Area",-12324,65,666,359,-3,7197,13528
"G21300","Elmira, NY Metro Area",-8308,-513,7,375,-5,398,3364
"G21340","El Paso, TX Metro Area",-343252,4190,4330,3789,886,104504,290563
"G21500","Erie, PA Metro Area",-24838,429,-89,3303,-30,1418,10117
"G21660","Eugene-Springfield, OR Metro Area",-1490.95000000001,1291,604,1297.99,246,5179.01,24128.98
"G21780","Evansville, IN-KY Metro Area",-16223,1579,95,1250,579,1964,12157
"G21820","Fairbanks, AK Metro Area",-9207.89,-409,675.81,513,208,790.97,5498.99
"G22020","Fargo, ND-MN Metro Area",14766,11883,1131,2471,48,1537,9230
"G22140","Farmington, NM Metro Area",-16632,-42,2380.98,432,-3,-1045,6526
"G22180","Fayetteville, NC Metro Area",-22415.48,11494.87,-20.8799999999992,2346.09,325,6867.76,21738.35
"G22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area",21507.43,4878.98,2491.97,8911.98,7476,13374,48186.18
"G22380","Flagstaff, AZ Metro Area",360.839999999997,331.86,-489.139999999999,827.14,98,665.11,8850.73
"G22420","Flint, MI Metro Area",-28138.03,-8213,-507,209,43,1764.97,15261.97
"G22500","Florence, SC Metro Area",-9624.00999999999,-2369,-60,743,45,674,4989
"G22520","Florence-Muscle Shoals, AL Metro Area",-3129,504,33,288,-13,967,5004
"G22540","Fond du Lac, WI Metro Area",-4044,1111,35,108,14,1452,3845
"G22660","Fort Collins-Loveland, CO Metro Area",24728,1315,672,2738,101,4067,25815
